jumlah_dosen,univ_name
2535,Universitas Gadjah Mada
2284,Universitas Indonesia
1516,Universitas Sumatera Utara
1621,Universitas Airlangga
1761,Universitas Hasanuddin
1443,Universitas Andalas
1885,Universitas Padjadjaran
1649,Universitas Diponegoro
1278,Universitas Sriwijaya
1131,Universitas Lambung Mangkurat
1612,Universitas Syiah Kuala
1651,Universitas Sam Ratulangi
1602,Universitas Udayana
855,Universitas Nusa Cendana
1053,Universitas Mulawarman
1061,Universitas Mataram
1110,Universitas Riau
611,Universitas Cenderawasih
1931,Universitas Brawijaya
908,Universitas Jambi
1082,Universitas Pattimura
949,Universitas Tanjungpura
1059,Universitas Jenderal Soedirman
750,Universitas Palangka Raya
1097,Universitas Jember
1161,Universitas Lampung
1583,Universitas Sebelas Maret
1350,Universitas Tadulako
1357,Universitas Halu Oleo
802,Universitas Bengkulu
688,Universitas Terbuka
1115,Universitas Negeri Padang
1040,Universitas Negeri Malang
1288,Universitas Pendidikan Indonesia
854,Universitas Negeri Manado
878,Universitas Negeri Makassar
926,Universitas Negeri Jakarta
1017,Universitas Negeri Yogyakarta
939,Universitas Negeri Surabaya
964,Universitas Negeri Medan
1069,Universitas Negeri Semarang
640,Universitas Sultan Ageng Tirtayasa
403,Universitas Trunojoyo
571,Universitas Khairun
494,Universitas Papua
523,Universitas Malikussaleh
683,Universitas Negeri Gorontalo
459,Universitas Pendidikan Ganesha
188,Universitas Bangka Belitung
215,Universitas Borneo Tarakan
268,Universitas Musamus Merauke
171,Universitas Maritim Raja Ali Haji (UMRAH)
288,Universitas Samudra
231,Universitas Sulawesi Barat
138,Universitas Sembilanbelas November Kolaka
115,Universitas Tidar
323,Universitas Siliwangi
229,Universitas Teuku Umar
330,Universitas Pembangunan Nasional Veteran Jawa Timur
85,Universitas Timor
307,Universitas Pembangunan Nasional Veteran Jakarta
473,Universitas Pembangunan Nasional Veteran Yogyakarta
374,Universitas Singaperbangsa Karawang
1357,Institut Teknologi Bandung
979,Institut Teknologi Sepuluh Nopember
1239,Institut Pertanian Bogor
305,Institut Seni Indonesia Yogyakarta
219,Institut Seni Indonesia Denpasar
236,Institut Seni Indonesia Surakarta
226,Institut Seni Indonesia Padang Panjang
165,Institut Seni Budaya Indonesia Bandung
20,Institut Seni Budaya Indonesia Aceh
0,Institut Seni Budaya Indonesia Tanah Papua
87,Institut Teknologi Kalimantan
131,Institut Teknologi Sumatera
0,Institut Teknologi Bacharuddin Jusuf Habibie
